Country,Diversity,Peace-fulness,Info Empowerment,Governance,Health,Food Security,Literacy Scaled,LE Scaled,Income Scaled,Gini Adjusted Income Index
Spain,0.746,0.754,0.861,0.602,0.877,0.684,0.98,0.937,0.832,0.869
Sri Lanka,0.733,0.426,0.549,0.377,0.673,0.291,0.91,0.814,0.553,0.536
Sudan,0.33,0.36,0.392,0.148,0.493,0.362,0.69,0.532,0.447,0.389
Suriname,0.583,0.686,0.795,0.535,0.666,0.389,0.91,0.778,0.639,0.568
Swaziland,0.704,0.642,0.521,0.51,0.497,0.053,0.87,0.38,0.566,0.522
Sweden,0.906,0.934,0.961,0.882,0.883,0.778,0.99,0.936,0.856,0.957
Switzerland,0.716,0.857,0.933,0.869,0.872,0.716,0.99,0.945,0.872,0.903
Syria,0.462,0.619,0.434,0.383,0.743,0.466,0.84,0.818,0.556,0.554
Taiwan,0.616,0.799,0.876,0.696,0.873,0.896,0.96,0.887,0.839,0.881
Tajikistan,0.571,0.663,0.633,0.353,0.559,0.313,0.99,0.694,0.428,0.524
Tanzania,0.647,0.725,0.562,0.53,0.357,0.1,0.73,0.491,0.375,0.456
Thailand,0.633,0.447,0.654,0.38,0.8,0.544,0.94,0.775,0.637,0.627
Timor Leste,0.671,0.719,0.442,0.401,0.599,0.626,0.5,0.67,0.473,0.569
Togo,0.499,0.663,0.528,0.409,0.435,0.14,0.65,0.618,0.308,0.41
Tokelau,0.55,0.883,0.654,0.77,0.795,0.808,0.94,0.733,0.333,0.333
Tonga,0.4,0.775,0.664,0.495,0.729,0.576,0.99,0.767,0.574,0.574
Trinidad & Tobago,0.684,0.613,0.851,0.504,0.756,0.486,0.99,0.757,0.783,0.776
Tunisia,0.5,0.647,0.523,0.692,0.788,0.596,0.78,0.834,0.633,0.627
Turkey,0.404,0.534,0.66,0.43,0.785,0.531,0.89,0.794,0.701,0.657
Turkmenistan,0.55,0.584,0.378,0.409,0.658,0.483,0.99,0.686,0.595,0.6
Turks & Caicos Islands,0.704,0.897,0.809,0.805,0.859,0.95,0.98,0.877,0.687,0.788
Tuvalu,0.44,0.905,0.743,0.679,0.753,0.699,0.98,0.65,0.401,0.401
Uganda,0.653,0.561,0.542,0.36,0.421,0.102,0.75,0.471,0.354,0.412
Ukraine,0.625,0.554,0.712,0.387,0.804,0.675,0.99,0.725,0.61,0.677
United Arab Emirates,0.48,0.724,0.883,0.859,0.812,0.617,0.9,0.873,0.881,0.911
United Kingdom,0.75,0.773,0.934,0.754,0.859,0.686,0.98,0.916,0.849,0.845
United States,0.696,0.369,0.881,0.649,0.815,0.564,0.97,0.893,0.889,0.785
Uruguay,0.612,0.814,0.835,0.735,0.811,0.638,0.98,0.853,0.7,0.663
USA Virgin Islands,0.66,0.489,0.772,0.644,0.792,0.425,0.99,0.904,0.72,0.72
Uzbekistan,0.639,0.603,0.524,0.319,0.691,0.578,0.99,0.748,0.478,0.537
Vanuatu,0.55,0.854,0.635,0.728,0.602,0.575,0.81,0.717,0.545,0.553
Venezuela,0.618,0.577,0.681,0.225,0.749,0.34,0.95,0.82,0.698,0.685
VietNam,0.618,0.716,0.541,0.569,0.748,0.455,0.93,0.806,0.484,0.525
Wallis & Futuna,0.55,0.858,0.647,0.752,0.787,0.773,0.95,0.833,0.527,0.463
Yemen,0.131,0.523,0.332,0.206,0.466,0.307,0.61,0.647,0.461,0.504
Zambia,0.504,0.691,0.533,0.567,0.438,0.148,0.71,0.407,0.387,0.341
Zimbabwe,0.55,0.48,0.521,0.259,0.528,0.096,0.91,0.362,0.333,0.304
